QID	LABEL	BODY
Q290_R4	2	What's the one thing you simply hate about the way women drive on the streets???If I were to list it out;the list would be endless.In spite of being a female driver myself;I just hate some of the antics they show on the streets! I guess changing lanes without signals tops my hate-list!grrrrr! x-(
Q290_R11	2	WOMAN: Father; I confess. Every time I look at other women during mass; I realize I’m the prettiest girl in the church. Is it a sin? PRIEST: No; iha! It’s a joke! Big JOKE
Q290_R12	2	Why do men always say words they don't mean at all??! Is there still a guy out there who is still true and sincere? ___________________________________________________________ ""Rule of thumb: Restlessness of mind can be measured by the number of promises that remain unkept;"" writes Mailer."
Q290_R16	2	Just for fun guys;Who Do You Think is the Most TALKATIVE QLers ? or say in other better word; most ACTIVE PARTICIPANT in threads. Please write down your votes; now............"
Q290_R19	2	Come on my little puff pastries. Who will join me on my 4 foot yacht on the Manchester Ship Canal for a pie and a pint? You will regret it if you turn me down. I am wearing my best vest and a paisley cravat I found in Oxfam. AND NOTHING ESLE. Come on my sweeties.
Q290_R32	2	Take a moment & think: ""Am I addicted to QL?"" All QLers! Let's hear it !"
Q291_R34	1	Does anyone know if there is a French speaking nursery in Doha? If so do you have contact details? Thanks Percy
Q291_R41	2	I heard a rumor that Qatar is going to get a Strip Bar soon. (or did they say strip mall?)
Q291_R45	0	I am aXpat British and would like to buy a one or two bedroom flat near to passport square. A friend told me; nobody is allow to buy a flat even if I am British and live there. Is he right? Please advice me in this respect. Thanks
Q293_R51	0	My family and I are moving to Doha from the U.S. soon. What are some of the activities for teenages; ages 14-17. I have two in that range; and they enjoy sports...mostly tennis and soccer.
Q293_R58	2	How do you avoid the boredom trap in Qatar? Read more: http://dohanews.co/post/33700405259/im-bored-by-khalid-albaih-and-contributed-to-the#ixzz29SHhOqlT
Q295_R28	0	This question is probably going to be best for the Indian ladies. I find myself with a lot of leftover cucumber raita. Short of serving it on the side of rice and curry; does anyone have any suggestions of what to do with it? I seem to have over estimated the quantity required for last night's iftar and now there is WAY too much for me to eat by myself!
Q295_R31	2	There is a STATE say X; Group A wants the bifurcation and Group B don't want it. Both are on Hunger strikes. :) both have valid reasons.
Q295_R38	2	A simple question... and a solution.. lol..
Q295_R42	0	what is the most popular dish or food item in ur country? something that a dinner party would be incomplete without. Do mention what it consists of i mean is it a gravy; rice dish a form of pasta....
Q295_R50	0	What to do during Christmas as an expat here in Doha????? Advice please; advice; advice; advice. THX
Q295_R61	2	Obviously; this thread is just for the wives. BE HONEST please :-DDD SoOoOoOo; does it? :-D Ohhh...Alright...; 1964 I’ll be back ..
Q295_R63	2	Yellorukkum vanakkam!naan ingey QL-lay konjam naalaa irukken.aanaa ithu varaikkum yaarumey tamizh-lay postings podara maathiri theriyala.....QL-lay neraiyya tamizh pesaravangey irukkaangey-nnu yenakku theriyum.namba yellorum yean oru puthu group aarambikka koodaathu? Unga yellorudaiyum cooperation yethir paarkkiren! Endrum anbudan Ungal Svelte! Moderator note - this thread has been locked - English only in the main forum please
Q296_R22	0	Guys Eid is just few days to come !! But i dont know what exciting things will be on Eid. As almost all shops will be closed what can be the events on Eid evening ?? Please Share your plans.
Q296_R26	0	Hey! My husband and I have a week off next week and we have decided to stay in Qatar for the week. Does anyone have any suggestions for things to do? We have out own transport (it is a 4x4; but we're not too adventurous when it comes to venturing off road!!) Along with suggestions; your reviews; prices and directions where you can would also be appreciated! We want to spend the week as tourists; rather than expats; so all advice appreciated. Thanks :D Jayne
Q296_R54	2	what to do during Eid ; in qatar ? and to all how doesn't know what Eid means ; its islamic cermony comes after RAMADAN ;muslims rest from fastin the whole month of RAMADAN ;it comes at the (1st of october)
Q297_R22	0	hi all; can anybody suggest which is the cheapest cargo(shipping) service center availabe in Qatar to transport things to Singapore and its contact numbers or the place where its office is located in Qatar? Very urgent as we are leaving the country. Thankyou for ur help .
Q297_R32	0	Why TATA SAFARI is not available in Qatar??
Q297_R48	0	WHOOS GONNA WIN ... GUESS AND TELL :D
Q298_R7	2	let me know the reason... why?
Q298_R20	2	He is flooding the forum with his silly nonsense one line threads…Why is he still not banned even after repeated flagging? Is he invisible to Moderators?
Q298_R45	0	I read in a good book given to us by a resident of qatar which gives you insight into everything qatar. It is informative and very useful. Giving you information from which taxi service to ring to customary do's and dont's. To the point; if its customary not to stare Why why why are so many people doing it pray tell????? All proceeds are welcome.
Q298_R54	1	Heard a rumor that out near the Liquor store a building is going to be built where they will sell Pork products; by licence; just like the liquor store. Anyone else heard this rumor?
Q299_R4	2	hmm?
Q299_R5	0	I had a one night stand with someone from a bar (yeah I know its not right...)... I coudnt stop thinking about him...What should I do???
Q299_R6	2	how to mend a broken sweet heart????
Q299_R15	0	This was a new one to me.. Apparently; if your relationship is in a rut; then one idea is to issue your partner with a ""Hall Pass"". This allows him/her a few days of freedom to do whatever they want. no questions asked. Sounds dangerous to me; but what say you. Would you issue your partner with a ""Hall Pass"" ?"
Q299_R18	0	guys; do you think this will ever work out without issues???
Q300_R18	1	Hi all; are hepatitis B & C checked for in the medical test for non-medical professionals? Basically;I have been getting conflicting information on this. Some say that Hep B & C are tested for everyone applying for residence permit. Others say that only medical professionals; primary school teachers and food handlers are tested for Hep B & C. Please discuss!
Q300_R41	0	Where do you get your haircut boys? Kindly advise where would be your best barber in town. Thanks.
Q300_R49	2	I am boycotting QL for a week..anyone wanna join me?? If you delete this..you are one insecure..insane kid!!
Q300_R55	0	I know this has been done; but for fear of looking into the back seat of my car and finding my toddler in a puddle in his car seat I am asking for advise. I was considering putting Luminar on my windows but dont know which shop does it. Is there anything better for keeping the heat out?
Q300_R56	2	Do you find that the higher up in the company you are the less you work and the more you spend on the net? There are so many intelligent professional people on QL; that it makes me wonder how any work is done in Qatar.  (btw I'm not talking about myself; the only reason I'm on QL so much is because our Doha office is not ready!   I'm at the bottom of this food chain!)
Q301_R22	2	Have a look ! http://www.reuters.com/article/idUSTRE65E2C920100615
Q301_R27	2	Does being an atheist makes you a lesser person? Some look at atheists in a not so good way; some even avoid talking to them and worst some judge them for their beliefs.
Q301_R39	0	Today's Gulf Times carried an article where recommendations were made to make arabic language and sharia compulsory in curricula of all expat schools in Qatar. How do QL'ers with school going kids feel about this? Make your opinions heard.
Q301_R48	2	http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2010/08/28/INF21F2Q9H.DTL
Q301_R64	2	Here is my carefully compiled list of swear words : farthead; dumb; crazy; morron; dumbhead; nincompoop. I use them occasionally when being provoked by those crank callers on phone (Which happened today). Guess that makes me 'unlady like'. So who throws the first stone ?
Q302_R46	0	 anybody can advise me a trick to get driving licence on parking test? thanks
Q302_R74	1	I have visiting visa for work; so can I drive; I have egyptian license?
Q302_R79	1	I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?
Q303_R7	1	Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you’re out of town!! I don’t know where to take him and I don’t trust anyone to do that for me :-(
Q303_R20	2	We all love to go on vacation and take pics... Here's one of Baldrick in Dubai.. Why not share yours ?
Q303_R23	1	i want someone to share my life with... but i want labrador retriever.. is there any chance i can find here in qatar?
Q303_R39	1	Hello Fellow QL'ers; does anyone have a number for a company called tasweeq? aand yes; i did try 180; but as we all know.....
Q304_R4	0	Hi; I may be moving to the U.A.E. for work and I would like to ask about the living conditions there. Is it comparable to Qatar? Thanks all.
Q305_R30	2	Allegedly from Dr John Smith of the athiest society. http://www.qatarliving.com/files/image001_23.jpg
Q305_R56	2	Recently Indian Government bought 200 Tons of Gold from other country....The Gold price suddenly increase to a tremendously high................ Why Indian so crazy in wearing Gold or golden accessories...their men and women wearing gold or golden jewelry; accessories extraordinarily...friend of mine wearing golden rings on 3 of his finger right and left...it's insane...
Q305_R59	0	ACCORDING TO ISLAM ARE WE MUSLIMS ALLOWED TO GET TATTOO'S DONE?? IVE DONE A LIL BIT OF RESEARCH AND ASKED LOADS OF PEOPLE BUT COULDNT FIND A STRONG PROOF OR A STRONG POINT..MOSTLY WOT I GOT WAS 50-50... WOT DO U HAVE TO SAY ABOUT THIS?
Q306_R20	1	Hello guys..I want to take NHA licensure(Nurse) here in Qatar but I dont have any work experience in the Philippines..I'm currently working here now as a nurse in a construction company for almost 1yr..Will NHA allowed me to take licensure here even if I don't have the necessary experience required? Help please..thanks a lot and godbless..
Q307_R36	2	Just heard from QBS radio... so now i wonder what love really is? Or why do we consider nationality; jobs or special things as a category...?
Q307_R45	2	The Arabic alphabet doesnâ€™t have the letter P. Thus in its absence; people here would normally pronounce â€œPâ€? as â€œBâ€? whenever they encounter words that have letter P; for instance words such as Pakistan toothpaste; hypertext; or anything that has P on it. Sounds funny huh but youâ€™ll get used to it. I feel a bit sorry for Superman and Spiderman; lucky Batman though. heeheeehe
Q308_R17	2	Just checked mine; poooh; 200 UAE Dirhams & 52 QR...; cash-point visit required me thinks! Hence wondering about everybody else; I mean in the UK one wouldn't keep much in there in case someone nicked your wallet out your back pocket; but petty theft crime here seems remarkably low; although on the increase in Dubai... Torque
Q308_R22	0	I really need to buy massive amount of silica gel. Can anyone advise me please where I can buy these? Cheers
Q308_R32	1	hi; i am gonna get married soon so i was wondering if anyone knew where i am able to get a wedding lehnga made or brought thanks
Q308_R48	0	Does anyone knows a shop where I can purchase the so-called FENUGREEK SEEDS (HELBA); Please let me know. I need to buy this one... thanks in advance...
Q309_R9	1	Hi! Just want to know if a wife can sponsor his husband here? My friend is asking. All I know is that a husband as well as a father can. But I'm not sure whether a wife can. Thanks
Q309_R19	0	Hi I am at my wits end! Been trying to sponsor my husband with no success.Had the meeting with the captains on Wednesday and today I see application was rejected. I know friends and colleagues who have managed to sponsor their husbands...... why the discrepancy? Any advise?
Q309_R29	1	Hi; I need to have a driving license but m an on-husband-sponsor and dat my husband doesnt have a license. So; can I apply for the license or my husband need to acquire it prior to me.??
Q310_R22	0	What is the best car to buy(good maintenance and good shape and performance);the budget is between 45000-60000.
Q310_R33	0	Dear fellow QL's; I am planning to buy a car but so far have been intimidated with the escalating car prices in almost all dealerships and agencies. I am now revising my plans to wait for promotion or season where the price is discounted. Can anyone help me when will be the best time to buy a Car? Further clarifications would be; would it be best to buy during Ramadan; last quarter of the year; etc.... Thanks in advance.
Q310_R35	0	Hi Everybody; I am planing to buy car; as my knowledge only toyota is the best with good a/c; cheap maintenance. My budget is arrount 45K And what I found in market is either : Camry 2009 or Corolla 2012 So what do you think ? Thank you
Q310_R45	0	my dad wants to buy an SUV. price below 135000. right now;looking for a prado.but its not available in qatar right now.shipping problems in japan. even armada is good;but cost is high. any other suggestions?
Q311_R24	0	Dears; I'm in process of registering my kid in school (preschool)and I want her to continue in the same school later on. I have two options as per my location(westbay; Dafnah): **QIS- Qatar International School **Newton International School Which is better?? is there any other option within the same range (price & location)
Q311_R60	0	Which is the best Pakistani School for children in Qatar? Thanks
Q312_R42	1	Does anybody know when Saudi Embassy will open umrah visa for visitors? This is very urgent please reply if anybody has information about this. Thanks in Advance.
Q312_R60	0	Today I learned there is no more airport visa; but only business visa and tourist visa. So what to do to bring anyone on a visit?
Q313_R30	0	My son passed th entry exam in Doha Acadmey and they asked for the school fees; Is it recommended school?
Q313_R48	0	Why is milk so much more expensive in Qatar than anywhere else? PS This thread is dedicated to Lincoln Pirate ;-)
Q314_R2	0	How many hour(s) everyone spend surfing QL during office hours?
Q314_R4	2	Organise these office Olympics. Have a look. http://www.youtube.com/watch?v=dKNy7B-cu0k
Q314_R11	2	Has someone actually died of work ever? I guess I'll be the first one. It's a overnight for me tonight. Just like last two 3 am nights. Have been working continously for three days now. I feel like passing out. There's a board meeting day after and work is only half finished. Is it bye bye Doha time ? I have never been so scared in my life. Give me some sympathy please. Excess QLing has done this to me. I wish I had known better and had not kept backlogs.
Q314_R17	2	I wonder why QL never talk about any experiences or what happened today at work. ...or nobody's working here in QL other than me? XP
Q314_R18	0	I noticed that there's some common diseases with a lot of ppl here in Qatar; especially with expatriate. The diseases are: blood pressure diabetes and cholesterol Who got one or more of these diseases or at least noticed that??????
Q314_R22	2	You lucky lucky people!!! ;-) It's been a brilliant weekend & all my friends & buddies on here have made it so; thanks QL & thanks QLSG!!! You know who you are. Go safe! Torque 8-)
Q315_R21	1	hola people cud u help me out please been hearing this song for ages on the radio and it's driving me crazy coz i dont know who sings it... thought it was kylie but when i googled it i got nothing... and they never say who it is on the radio.. it goes something like.. ""only in my dreams you're mine... i meet you every night inside... and everytime i wake i cry... gotta make tonight the night.."" can anyone help me out?? cheerios"
Q315_R27	2	What did you have for breakfast? Me 2 cups of filtre coffee (note spelling plz r123 and scar);) toast baked beans scrambled eggs meat with crackly bits 2 pieces of black pudding lashings of ketchup lovely - that is a proper breakfast.
Q315_R35	0	Hi Guys! I have 10 years of experience. I am from the third world country. I've got an offer from a big Oil and Gas Operator in Doha: basic - 19 000 QAR house allowance - 11 000 QAR Car allowance - 2100 QAR ADSL - 400 QAR Insurance only for me (total 32500 QAR) married with one small child. I did not like the offer and asked to revise basic salary from 19k to 25 000 QAR. What do you think?
Q315_R36	1	Hey; can anyone please tell me whether a colour blind engineer is acceptable to QP??
Q315_R46	0	I'll be joining Al Jazeera International ; a dream I've had for some time now. I need to ask anyone; employees of Al Jazeera or anyone working in Qatar; what kind of accommodation is provided by Al Jazeera for singles. Im worried that pre-determined accommodation may be unsuitable or in an unsafe neighbourhood. Can anyone help me out on this? Id really appreciate it. Thanks
Q315_R47	2	I knowlingly bought two boxes of Special K sustain for 47.50QAR each. I am so ashamed of myself. What is the worst sin you have done in Qatar...?????
Q316_R3	2	My dear friend Pajju; we can understand tat u have being chained somewere (as shown in the pic) tat doesnt mean u have to forget ur OLD QL buddies ? :( Break all tat barriers and come back soon.
Q316_R15	2	Coz Bajju is warned by his boss; now he is just sitting infront of boss and thinking how many lol I missed till now. Bechar Pappu; Pappu Nach Nahi Sakta http://i46.tinypic.com/of69hz.jpg
Q316_R17	2	Please Comment :)
Q316_R20	2	Many more happy returns... when is the party ??
Q316_R25	2	. . Two drifters; off to see the world There's such a lot of world to see We're after the same rainbow's end; waitin' 'round the bend My huckleberry friend; moon river; and me . (Andy Williams/Moon River )"
Q316_R31	2	pilgram Soniya Tinkerbell UKeng (authorized absence) Dracula Timebandit Please add names of missing Qlers...
Q317_R16	0	My 5 week old grandson came over from UK two days ago and he was great firstly taking his bottles; 5 oz in total; but now he is only taking 3 ozs and is screaming for more; but will not take the rest of his bottle. He is not having problems with colic. I would like to know what is the most popular brand of water being used by parents in Qatar for baby's bottles. Thank you.
Q317_R21	0	Now we all know which bars have the pros; though there have been some dispute on it(whether all girls in the bar or some of them in the bars are pros). Now the question arises ; what are their rates?Any one like to share some or all of the knowledge).
